start_station_code,end_station_code,start_date
6,8,2016-05-01
4,6,2016-05-01
3,6,2016-05-01
7,8,2016-05-01
8,4,2016-05-01
2,8,2016-05-01
2,1,2016-05-01
8,2,2016-05-01
2,8,2016-05-01
7,1,2016-05-01
7,3,2016-05-01
6,2,2016-05-01
3,1,2016-05-01
5,4,2016-05-01
3,8,2016-05-01
6,4,2016-05-01
6,5,2016-05-01
5,6,2016-05-01
6,3,2016-05-01
7,5,2016-05-01
8,7,2016-05-01
5,6,2016-05-01
8,5,2016-05-01
8,3,2016-05-01
1,7,2016-05-01
8,3,2016-05-01
7,3,2016-05-01
3,1,2016-05-01
8,1,2016-05-01
2,1,2016-05-01
5,7,2016-05-01
1,6,2016-05-01
8,2,2016-05-01
3,6,2016-05-01
8,4,2016-05-01
8,7,2016-05-01
8,5,2016-05-01
5,2,2016-05-01
5,7,2016-05-01
3,2,2016-05-01
2,4,2016-05-01
3,1,2016-05-01
3,5,2016-05-01
2,1,2016-05-01
6,4,2016-05-01
7,3,2016-05-01
2,7,2016-05-01
6,4,2016-05-01
7,6,2016-05-01
1,2,2016-05-01
5,7,2016-05-01
5,3,2016-05-01
4,7,2016-05-01
8,7,2016-05-01
3,1,2016-05-02
4,7,2016-05-02
6,5,2016-05-02
3,8,2016-05-02
7,4,2016-05-02
7,5,2016-05-02
6,4,2016-05-02
5,8,2016-05-02
5,8,2016-05-02
2,8,2016-05-02
7,5,2016-05-02
3,8,2016-05-02
3,1,2016-05-02
2,1,2016-05-02
5,6,2016-05-02
4,6,2016-05-02
2,4,2016-05-02
6,3,2016-05-02
7,2,2016-05-02
5,6,2016-05-02
5,2,2016-05-02
8,6,2016-05-02
4,8,2016-05-02
7,5,2016-05-02
4,3,2016-05-02
3,5,2016-05-02
8,2,2016-05-02
3,6,2016-05-02
5,7,2016-05-02
6,4,2016-05-02
1,3,2016-05-02
4,6,2016-05-02
8,1,2016-05-02
2,6,2016-05-02
6,5,2016-05-02
4,1,2016-05-02
2,1,2016-05-02
7,5,2016-05-02
6,8,2016-05-02
2,3,2016-05-02
3,6,2016-05-02
8,7,2016-05-02
4,2,2016-05-02
1,2,2016-05-02
3,1,2016-05-02
6,2,2016-05-02
4,7,2016-05-02
3,1,2016-05-02
6,8,2016-05-02
2,6,2016-05-02
1,3,2016-05-02
8,4,2016-05-02
1,6,2016-05-02
5,2,2016-05-02
1,3,2016-05-02
1,2,2016-05-03
1,7,2016-05-03
1,2,2016-05-03
4,2,2016-05-03
7,1,2016-05-03
3,4,2016-05-03
4,7,2016-05-03
8,1,2016-05-03
7,3,2016-05-03
4,5,2016-05-03
5,2,2016-05-03
4,5,2016-05-03
8,7,2016-05-03
5,7,2016-05-03
3,8,2016-05-03
4,1,2016-05-03
4,2,2016-05-03
3,2,2016-05-03
5,4,2016-05-03
5,7,2016-05-03
6,7,2016-05-03
2,6,2016-05-03
5,2,2016-05-03
1,2,2016-05-03
1,4,2016-05-03
8,2,2016-05-03
2,4,2016-05-03
1,8,2016-05-03
8,2,2016-05-03
4,2,2016-05-03
1,5,2016-05-03
1,4,2016-05-03
6,2,2016-05-03
3,6,2016-05-03
1,6,2016-05-03
7,3,2016-05-03
2,1,2016-05-03
4,5,2016-05-03
8,4,2016-05-03
7,1,2016-05-03
3,2,2016-05-03
2,7,2016-05-03
3,1,2016-05-04
2,3,2016-05-04
1,4,2016-05-04
3,1,2016-05-04
1,8,2016-05-04
5,3,2016-05-04
3,8,2016-05-04
1,7,2016-05-04
7,1,2016-05-04
7,4,2016-05-04
4,2,2016-05-04
7,3,2016-05-04
2,5,2016-05-04
2,7,2016-05-04
8,1,2016-05-04
3,2,2016-05-04
3,1,2016-05-04
1,2,2016-05-04
7,3,2016-05-04
1,4,2016-05-04
6,2,2016-05-04
5,4,2016-05-04
3,8,2016-05-04
2,3,2016-05-04
6,8,2016-05-04
1,5,2016-05-04
8,4,2016-05-04
4,7,2016-05-04
3,4,2016-05-04
1,4,2016-05-04
8,7,2016-05-04
1,3,2016-05-04
4,8,2016-05-04
8,7,2016-05-04
1,5,2016-05-04
5,4,2016-05-04
6,7,2016-05-04
2,1,2016-05-04
5,7,2016-05-04
7,1,2016-05-04
5,1,2016-05-04
6,3,2016-05-04
8,1,2016-05-04
7,3,2016-05-04
5,3,2016-05-05
5,2,2016-05-05
1,5,2016-05-05
4,8,2016-05-05
3,2,2016-05-05
2,7,2016-05-05
8,2,2016-05-05
5,3,2016-05-05
3,5,2016-05-05
2,3,2016-05-05
2,8,2016-05-05
7,1,2016-05-05
6,5,2016-05-05
5,2,2016-05-05
6,5,2016-05-05
2,6,2016-05-05
2,1,2016-05-05
1,8,2016-05-05
2,5,2016-05-05
7,5,2016-05-05
1,2,2016-05-05
3,2,2016-05-05
4,7,2016-05-05
3,4,2016-05-05
5,7,2016-05-05
1,3,2016-05-05
6,7,2016-05-05
8,7,2016-05-05
4,6,2016-05-05
1,6,2016-05-05
1,5,2016-05-05
6,3,2016-05-05
1,4,2016-05-06
4,5,2016-05-06
6,7,2016-05-06
2,5,2016-05-06
5,7,2016-05-06
8,3,2016-05-06
7,8,2016-05-06
6,4,2016-05-06
7,8,2016-05-06
6,7,2016-05-06
2,8,2016-05-06
4,7,2016-05-06
6,4,2016-05-06
8,2,2016-05-06
3,1,2016-05-06
7,5,2016-05-06
3,5,2016-05-06
7,3,2016-05-06
7,2,2016-05-06
4,7,2016-05-06
4,5,2016-05-06
6,4,2016-05-06
3,2,2016-05-06
7,8,2016-05-06
8,4,2016-05-06
4,5,2016-05-06
1,4,2016-05-06
1,5,2016-05-06
1,3,2016-05-06
4,7,2016-05-06
6,4,2016-05-06
3,5,2016-05-06
1,3,2016-05-06
6,5,2016-05-06
4,8,2016-05-06
4,6,2016-05-06
6,8,2016-05-06
7,4,2016-05-06
4,1,2016-05-06
1,6,2016-05-06
1,4,2016-05-06
7,2,2016-05-06
4,7,2016-05-06
4,8,2016-05-06
5,3,2016-05-06
4,2,2016-05-06
6,1,2016-05-06
5,2,2016-05-06
2,3,2016-05-06
7,1,2016-05-06
4,1,2016-05-06
2,6,2016-05-06
5,7,2016-05-06
2,8,2016-05-07
1,8,2016-05-07
5,8,2016-05-07
4,5,2016-05-07
